record_num,timestamp,open,high,low,close,buy_count,sell_count,volume,volume_delta,cumulative_volume_delta,cumulative_volume
490,2025-06-12 02:32:00,6065.25,6067.75,6065.25,6067.75,21,18,39,3,-46,9643
491,2025-06-12 02:33:00,6067.25,6068.25,6067.25,6068.25,11,10,21,1,-45,9664
492,2025-06-12 02:34:00,6068.00,6068.25,6068.00,6068.00,6,4,10,2,-43,9674
493,2025-06-12 02:35:00,6068.25,6068.25,6067.50,6067.50,1,3,4,-2,-45,9678
494,2025-06-12 02:36:00,6067.50,6067.50,6067.25,6067.25,0,2,2,-2,-47,9680
495,2025-06-12 02:37:00,6066.75,6067.00,6066.50,6067.00,6,6,12,0,-47,9692
496,2025-06-12 02:38:00,6066.75,6068.00,6066.50,6068.00,7,11,18,-4,-51,9710
497,2025-06-12 02:39:00,6067.25,6067.25,6066.75,6067.00,4,3,7,1,-50,9717
498,2025-06-12 02:40:00,6066.50,6066.75,6066.25,6066.75,7,4,11,3,-47,9728
499,2025-06-12 02:41:00,6066.75,6067.00,6066.75,6067.00,2,2,4,0,-47,9732
500,2025-06-12 02:42:00,6067.50,6068.25,6067.50,6068.25,10,13,23,-3,-50,9755
501,2025-06-12 02:43:00,6068.25,6068.75,6068.25,6068.75,6,3,9,3,-47,9764
502,2025-06-12 02:44:00,6068.50,6068.50,6067.75,6067.75,4,8,12,-4,-51,9776
503,2025-06-12 02:45:00,6067.75,6067.75,6066.75,6066.75,3,7,10,-4,-55,9786
504,2025-06-12 02:46:00,6066.75,6066.75,6066.50,6066.50,3,0,3,3,-52,9789
505,2025-06-12 02:47:00,6066.25,6066.25,6065.75,6066.00,3,8,11,-5,-57,9800
506,2025-06-12 02:48:00,6065.75,6068.50,6065.75,6068.25,18,10,28,8,-49,9828
507,2025-06-12 02:49:00,6068.00,6068.00,6067.25,6067.25,7,4,11,3,-46,9839
508,2025-06-12 02:50:00,6067.00,6070.00,6066.50,6068.25,88,30,118,58,12,9957
509,2025-06-12 02:51:00,6068.25,6069.25,6068.25,6068.75,8,17,25,-9,3,9982
510,2025-06-12 02:52:00,6068.75,6070.50,6068.25,6070.50,19,15,34,4,7,10016
511,2025-06-12 02:53:00,6070.00,6070.75,6069.50,6070.50,15,10,25,5,12,10041
512,2025-06-12 02:54:00,6070.25,6070.25,6069.50,6070.00,7,6,13,1,13,10054
513,2025-06-12 02:55:00,6070.00,6070.00,6070.00,6070.00,0,2,2,-2,11,10056
514,2025-06-12 02:56:00,6070.25,6070.25,6068.75,6068.75,2,3,5,-1,10,10061
515,2025-06-12 02:57:00,6068.50,6069.00,6068.50,6069.00,3,3,6,0,10,10067
516,2025-06-12 02:58:00,6068.75,6069.25,6068.75,6069.25,1,2,3,-1,9,10070
517,2025-06-12 02:59:00,6069.25,6069.50,6068.75,6069.50,9,15,24,-6,3,10094
518,2025-06-12 03:00:00,6069.75,6070.25,6069.00,6069.25,29,38,67,-9,-6,10161
519,2025-06-12 03:01:00,6069.50,6072.75,6069.50,6072.25,27,34,61,-7,-13,10222
520,2025-06-12 03:02:00,6071.75,6072.25,6071.50,6072.00,13,20,33,-7,-20,10255
521,2025-06-12 03:03:00,6072.00,6074.00,6071.75,6073.25,127,74,201,53,33,10456
522,2025-06-12 03:04:00,6073.00,6073.00,6072.50,6073.00,14,15,29,-1,32,10485
523,2025-06-12 03:05:00,6073.00,6073.50,6071.50,6071.50,11,16,27,-5,27,10512
524,2025-06-12 03:06:00,6071.50,6072.00,6071.00,6071.25,16,15,31,1,28,10543
525,2025-06-12 03:07:00,6071.50,6073.00,6071.50,6072.50,13,10,23,3,31,10566
526,2025-06-12 03:08:00,6073.00,6073.25,6073.00,6073.25,6,4,10,2,33,10576
527,2025-06-12 03:09:00,6073.25,6073.75,6072.25,6072.25,5,10,15,-5,28,10591
528,2025-06-12 03:10:00,6072.50,6072.75,6072.50,6072.50,4,8,12,-4,24,10603
529,2025-06-12 03:11:00,6072.75,6073.50,6072.50,6072.75,40,19,59,21,45,10662
530,2025-06-12 03:12:00,6072.50,6072.50,6071.75,6072.00,5,12,17,-7,38,10679
531,2025-06-12 03:13:00,6072.00,6072.75,6069.25,6071.25,36,159,195,-123,-85,10874
532,2025-06-12 03:14:00,6071.00,6072.00,6070.75,6070.75,33,18,51,15,-70,10925
533,2025-06-12 03:15:00,6070.75,6072.00,6069.75,6070.00,41,112,153,-71,-141,11078
534,2025-06-12 03:16:00,6070.00,6070.50,6069.75,6070.50,11,13,24,-2,-143,11102
535,2025-06-12 03:17:00,6070.50,6071.50,6070.00,6071.50,36,23,59,13,-130,11161
536,2025-06-12 03:18:00,6071.50,6071.50,6070.50,6070.75,7,17,24,-10,-140,11185
537,2025-06-12 03:19:00,6070.75,6071.00,6070.00,6070.00,8,16,24,-8,-148,11209
538,2025-06-12 03:20:00,6070.00,6071.25,6069.75,6070.00,34,17,51,17,-131,11260
539,2025-06-12 03:21:00,6070.25,6071.50,6070.00,6071.00,29,24,53,5,-126,11313
540,2025-06-12 03:22:00,6071.25,6071.75,6071.00,6071.75,8,22,30,-14,-140,11343
541,2025-06-12 03:23:00,6072.00,6072.25,6071.50,6072.25,12,21,33,-9,-149,11376
542,2025-06-12 03:24:00,6072.25,6072.25,6071.50,6072.00,6,15,21,-9,-158,11397
543,2025-06-12 03:25:00,6071.75,6072.25,6071.50,6071.75,14,12,26,2,-156,11423
544,2025-06-12 03:26:00,6071.75,6071.75,6070.75,6071.50,10,18,28,-8,-164,11451
545,2025-06-12 03:27:00,6071.50,6071.50,6068.75,6069.00,9,24,33,-15,-179,11484
546,2025-06-12 03:28:00,6069.25,6071.00,6069.25,6070.50,12,27,39,-15,-194,11523
547,2025-06-12 03:29:00,6070.50,6070.50,6068.25,6068.75,14,17,31,-3,-197,11554
548,2025-06-12 03:30:00,6068.50,6068.50,6065.75,6066.25,21,34,55,-13,-210,11609
549,2025-06-12 03:31:00,6066.00,6067.00,6064.50,6064.50,12,23,35,-11,-221,11644
550,2025-06-12 03:32:00,6065.00,6065.50,6063.75,6063.75,13,18,31,-5,-226,11675
551,2025-06-12 03:33:00,6063.75,6064.50,6063.50,6064.50,11,16,27,-5,-231,11702
552,2025-06-12 03:34:00,6064.25,6065.00,6063.75,6064.50,8,13,21,-5,-236,11723
553,2025-06-12 03:35:00,6064.75,6065.75,6064.25,6065.50,21,17,38,4,-232,11761
554,2025-06-12 03:36:00,6065.25,6066.50,6064.75,6066.00,14,17,31,-3,-235,11792
555,2025-06-12 03:37:00,6064.75,6065.00,6064.25,6064.75,6,9,15,-3,-238,11807
556,2025-06-12 03:38:00,6064.75,6065.00,6063.75,6064.75,18,15,33,3,-235,11840
557,2025-06-12 03:39:00,6064.75,6066.00,6064.75,6065.25,18,16,34,2,-233,11874
558,2025-06-12 03:40:00,6064.75,6064.75,6063.75,6064.75,4,9,13,-5,-238,11887
559,2025-06-12 03:41:00,6065.25,6065.25,6063.75,6063.75,18,14,32,4,-234,11919
560,2025-06-12 03:42:00,6063.75,6063.75,6062.50,6063.25,21,31,52,-10,-244,11971
561,2025-06-12 03:43:00,6062.75,6063.00,6062.50,6062.50,5,28,33,-23,-267,12004
562,2025-06-12 03:44:00,6062.25,6062.25,6061.25,6061.75,27,27,54,0,-267,12058
563,2025-06-12 03:45:00,6061.75,6061.75,6060.00,6060.50,52,78,130,-26,-293,12188
564,2025-06-12 03:46:00,6060.00,6060.00,6057.00,6057.50,28,55,83,-27,-320,12271
565,2025-06-12 03:47:00,6057.75,6059.50,6057.75,6059.50,31,41,72,-10,-330,12343
566,2025-06-12 03:48:00,6059.25,6060.25,6059.00,6059.75,19,14,33,5,-325,12376
567,2025-06-12 03:49:00,6060.00,6060.00,6058.75,6059.25,33,27,60,6,-319,12436
568,2025-06-12 03:50:00,6059.00,6059.00,6055.25,6055.25,66,115,181,-49,-368,12617
569,2025-06-12 03:51:00,6055.25,6056.50,6053.75,6055.50,53,120,173,-67,-435,12790
570,2025-06-12 03:52:00,6055.25,6056.00,6053.75,6055.00,27,50,77,-23,-458,12867
571,2025-06-12 03:53:00,6055.25,6056.25,6054.75,6055.00,25,24,49,1,-457,12916
572,2025-06-12 03:54:00,6055.00,6055.25,6050.75,6050.75,42,98,140,-56,-513,13056
573,2025-06-12 03:55:00,6050.50,6052.75,6050.00,6052.75,56,313,369,-257,-770,13425
574,2025-06-12 03:56:00,6052.50,6054.00,6051.50,6053.75,21,28,49,-7,-777,13474
575,2025-06-12 03:57:00,6053.00,6053.75,6052.00,6052.00,23,26,49,-3,-780,13523
576,2025-06-12 03:58:00,6052.00,6052.50,6051.00,6052.50,22,26,48,-4,-784,13571
577,2025-06-12 03:59:00,6052.50,6053.00,6051.75,6052.50,25,26,51,-1,-785,13622
578,2025-06-12 04:00:00,6052.25,6053.75,6051.25,6053.00,61,86,147,-25,-810,13769
579,2025-06-12 04:01:00,6053.00,6055.25,6049.25,6049.50,69,144,213,-75,-885,13982
580,2025-06-12 04:02:00,6049.25,6049.50,6045.00,6045.75,99,120,219,-21,-906,14201
